genres,avaliacoes_positivas_percentual,concorrentes
"Action;Adventure;RPG;Early Access",70.97165789,19
Violent;Gore;Action;Indie;RPG,70.93955000,2
"Casual;Indie;Sports;Early Access",70.92852143,14
Action;Indie;Strategy,70.92240046,217
"Massively Multiplayer;Simulation;Sports;Early Access",70.90910000,1
"Action;Racing;Early Access",70.86730000,5
Adventure;Casual;Indie;RPG;Strategy,70.85820323,62
Violent;Action;Casual;Indie;Strategy,70.83335000,2
"Action;Adventure;Casual;Indie;Massively Multiplayer;Simulation;Strategy",70.83330000,1
"Adventure;Casual;Indie;Early Access",70.81308333,24
"Sexual Content;Nudity;Adventure;Casual;Indie;RPG;Strategy",70.58820000,1
"Casual;Free to Play;Indie;Massively Multiplayer;Simulation;Sports;Strategy",70.58820000,1
Casual;Indie;Simulation,70.57950306,359
Adventure;Indie;Simulation;Strategy,70.54863810,21
"Adventure;Casual;Indie;RPG;Simulation;Strategy;Early Access",70.52630000,1
"Simulation;Early Access",70.52038077,26
"Action;Indie;RPG;Simulation;Early Access",70.48871250,8
Action;Strategy,70.47961081,74
